Choice,follower_count,following_count,listed_count,mentions_received,retweets_received,mentions_sent,retweets_sent,posts,network_feature_1,network_feature_2,network_feature_3
0,34235,29506,1686,14.84651823,3.883525446,8.10382784,0.231919685,6.626664889,64,-90.96969697,-9438.106061
0,17671,-331,1382,-49.96148515,-16.85468484,-2.481651748,-0.546816093,-4.106299316,-206,113.587704,1601.14929
0,-3688,-733,105,-24.7689489,-9.201968543,-4.758316967,-0.490702248,-2.986516104,-92,-58.59450172,-5722.563574
0,19542,17630,276,565.1840318,390.0163753,26.22053243,7.067053387,29.27127936,1756,21.46929577,1299.678967
1,-38035,849,-2460,-127.2524133,-33.41722273,-21.11711089,-2.213765106,-19.29803539,-466,-78.90429338,-840.2200358
0,-274588,-274751,-2943,21.2649309,-1.369006774,19.5475611,1.761261849,12.16052586,68,62.62536657,-1663.121701
0,-100119,-275250,11700,246.6862924,47.05321484,13.01140039,0.234262308,13.56466921,868,128.1797772,1177.388122
1,-1392,698,746,-44.79842555,-21.09391363,1.236647792,0.495308654,-5.473195815,-166,193.8547619,3738.42585
1,-1975203,-3973,-5737,-6289.148959,-2737.863693,-8.840511007,-1.937321875,-63.13074549,-19657,69.11073373,2752.244553
0,-64685,-103,6119,43.9103201,-6.692734593,-12.2543586,2.466765809,-5.019476452,224,-90.95448306,-2502.126428
0,319482,34345,22086,176.2435238,42.22971802,6.48707716,1.24457004,3.99771538,695,234.3380682,7157.464489
0,81224,65608,4938,147.9362439,66.95541972,5.379845616,0,71.7787704,559,187.1054975,8681.39547
1,-22480,502,-797,-115.7599674,-56.35592666,-1.237847512,1.191738995,-5.403849151,-455,87.15299807,266.7230174
0,-4097336,13,-26551,-7011.868801,-3761.394702,-2.001490664,-0.239018782,-4.433552919,-25102,43.62195303,5807.468202
1,2423,4543,15,0.486343188,1.130435824,1.313598363,0.264289606,2.355551776,-1,11.44444444,682.6666667
1,-47961,-21848,-903,-59.63233973,-18.2665351,5.034854502,1.931955381,4.322652435,-218,112.0202887,-575.9551307
0,3161653,-149,507,1248.333467,978.7130306,12.86292187,2.279514719,100.4372933,4779,4.906173842,1417.107913
0,208761,-401,5443,0.731734308,-10.46788791,-6.845729896,-0.241433113,-0.720998724,9,-97.56986439,3925.045904
1,-265039,-61,-543,-631.1576389,-457.5480465,-5.360482129,0,-7.39762314,-2600,201.1736862,3415.974531
1,-623649,31055,-2578,-1408.488456,-279.6637009,3.082558318,-1.757722912,1.980120786,-4452,106.5965708,2996.271435
0,35067995,135941,238645,32692.88177,6426.623004,-6.609777445,0,-7.874045143,52938,-36.52349635,-2985.413788
1,-4862272,66935,-21216,-1623.873471,-762.7821096,5.379845616,0,71.7787704,-6753,179.3390816,6512.373034
1,514940,-1930,11034,108.3894345,51.55962128,0.478143933,0.515393507,0.995511383,470,-123.0968684,-2945.5
0,4491288,720,29874,4499.895748,2206.471394,26.86642138,12.52777936,28.72544676,16646,22.74772633,2206.420734
0,69710,-24700,219,73.41301443,35.6139896,5.531252292,1.28014042,-30.38206804,284,-112.4341029,-13652.14021
0,281315,37530,21515,143.9840632,25.80237552,2.258496766,-0.242291786,-6.472510062,574,219.3461983,5123.55392
0,-2689652,46705,-10733,-4938.236709,61.93428508,4.669888366,-0.239018782,70.79751645,-17981,201.1019362,9125.427576
1,-71967,22433,-5466,-377.6466355,-164.4759547,-7.30211994,-4.033207909,31.69429367,-1318,60.00312401,13683.88071
1,100627,127020,-3655,27.84801873,44.23448223,-12.97888442,0,-12.54237789,-99,-171.9179297,2780.835237
0,124395,9,4043,55.0367626,23.34563628,1.117128773,0,5.570559107,239,217.2416667,6466.733333
0,1660599,-460,9497,688.7257731,56.57096431,-20.26050856,-0.724431814,-18.99501072,2046,-106.115192,-896.2085546
1,-454678,39150,-11326,-311.3479708,-142.3576913,-4.385586804,-0.948904565,-4.706319965,-1278,-5.532818533,97.01042471
0,235679,703,2780,77.09307003,23.8705731,12.19227451,2.45022171,12.25774565,307,159.2006472,5131.31068
1,-129556,-2963,-405,-92.31444695,-16.43798053,-2.447544257,0,-2.440725894,-353,733.4269972,965.7644628
0,200877,13581,2235,-24.37946318,0.448205909,-1.415449713,0,-1.181187404,-47,257.1968804,14950.16679
0,1096092,749,10551,70.44739604,18.96590866,0,0,0.251336785,278,-7.790102389,-649.6856655
0,-4615,-275,-91,-27.65909448,-13.78633823,-2.680694873,-1.478459507,-3.871090615,-84,-246.3058824,-3851.317647
1,-536110,3768,-10006,-2411.17347,-978.8241659,-12.15329604,0.241433113,-32.14783097,-8522,27.20120177,-3156.482329
0,479814,11348,16283,1782.99257,685.4745405,1.465403329,1.217636864,13.06115349,6837,7.178298285,1241.976163
1,-9411942,3340,-17519,-4321.916622,-662.897047,-6.501782332,-1.737877362,23.0782679,-12201,2.516822368,593.2744241
0,-569859,-150860,-3857,-147.4496047,-46.90783318,-20.46467658,-0.988257991,-14.94564273,-253,5.893194936,-3486.742266
1,-4871914,-33079,-12620,-172630.3505,-51908.84953,-5.211909957,1.244766035,4.48601457,-209719,33.71859597,1237.638629
1,-2122426,547,-11265,-13313.19293,-1754.382133,5.19874956,-9.603040651,8.258747987,-34793,10.60854568,2252.796642
0,1680,1456,82,0.86647721,0.2055701,0.019811346,0,0.271148131,3,324.3333333,4209.666667
0,-638899,180,-5919,42.05143139,44.45307244,0.485940186,0.493556602,1.77936841,117,-88.0615344,-2813.344347
1,-1480629,-146524,-15014,-9899.777915,-5011.74351,-5.303102528,1.931955381,-188.6492624,-28553,181.3994921,2819.77178
0,-39776,5447,2038,203.8208261,92.51534918,-0.320568464,1.2025695,5.063742607,726,-316.2127658,-23367.74614
0,-5270,-1400,-261,-39.23519228,-3.76594972,-1.415449713,0,-1.181187404,-115,-62.99152542,-2355.949153
0,-1091922,1296,-2276,102.935146,48.85211346,11.19432734,2.466765809,10.83326274,401,149.0165224,2806.33008
0,142,98,4,5.080618871,1.057471879,1.232394601,0.251336785,0.963983339,16,-22.26666667,724.0380952
0,237794,-1965,6725,660.1458288,296.7943342,28.1574966,0.739178985,20.62216163,2373,63.72932331,2487.774854
1,-130637,-27,-6949,1554.186858,663.1789196,27.72148618,6.953650097,88.90965263,3388,-34.78664682,-737.7759496
1,-161156,43942,-6482,-164.8612128,-97.11546512,-2.51728487,-1.514213467,0.672648706,-632,25.00946668,-227.2620364
1,-95737,392,-355,-81.2556608,-43.0153915,-6.489741751,-2.238629879,-10.46766372,-295,39.79124579,2856.925926
0,151501,-1516,13534,3594.486859,873.8421078,5.684269345,1.661807543,21.99428495,12361,-210.6374111,-5818.06664
0,68901,42544,1417,6.166511705,3.044297968,0.005103155,0,4.237128169,29,-12.83806147,-509.9952719
0,866892,-285,13742,128.2013826,54.61985142,2.522046932,1.020656865,2.522046932,540,132.1584507,4909.909091
0,2245164,-1216,21601,457.7624356,201.9580504,-11.8429288,-0.726632417,-16.14646194,1791,-281.3546895,-2679.615637
1,-344027,13481,-2422,-196.5991197,-105.8926394,-7.370836267,-0.495458722,-10.89863026,-744,39.3271369,1388.7898
0,-1400559,140,-19835,-962.4500212,-577.8299691,-2.135465931,-0.705176874,-4.64526727,-4009,81.80060552,1372.595183
0,8422,457,440,10.76764204,2.713019686,15.06543155,2.438163817,6.916255892,35,122.1388889,4560.166667
0,57097,-549,-3413,270.3717123,61.96433203,1.83135402,-0.546326526,4.042827486,1108,-69.27674125,-433.8428281
0,-13340,-3374,-366,2.461154157,1.302199271,2.493585909,0.497646835,0.459144905,10,-120.5833333,-2384.916667
1,-214634,-260,-5977,-4.558211734,11.32823139,0.26164671,0,1.023066505,-16,-43.24666222,-6647.622735
1,-1336963,342,-14900,-19073.85512,-14530.41205,4.880815222,-0.239018782,-9.777525022,-52378,149.4026503,2689.054011
1,-4491288,-650,-29872,-4498.902479,-2206.471394,-26.59946219,-12.52777936,-28.44591946,-16641,82.65227367,-1016.420734
0,65018,128007,5062,708.6183896,258.4875108,-0.687796225,-2.316328012,27.79861394,2085,22.74782454,1499.195953
0,2224545,-37735,10500,6781.952998,2944.248707,12.85521993,2.691357618,66.10570494,21676,-36.14063569,-538.2979844
0,1259232,182,6095,908.5488182,211.2331676,11.67245445,7.465139582,12.44305468,3366,10.04866608,1326.842861
0,1467170,741,38619,3217.305292,1374.142171,7.460873547,6.225932687,22.11076807,11773,-183.7231314,-6137.653815
1,-5915371,254,-7482,-65756.07055,-32053.34104,-0.750280129,0,-1.274018051,-187663,7.25703342,-679.4549939
1,343069,-9281,-3042,-1707.917891,-656.9018176,2.119958456,1.29765398,-10.77716779,-6516,-2.400577415,827.6381775
1,-6560947,17,-16052,-2432.161114,-569.882832,-2.245677062,-0.482866226,-1.53189698,-8190,-1.998102783,-1282.062641
1,-5151,-1710,-106,18.63468739,27.87704722,44.8553478,-1.01922334,38.06717998,62,-38.47278912,-507.3217845
1,-574603,-1184,-7093,-257.3886341,-131.9649755,-13.51707261,-4.706676454,-6.980372364,-1085,-23.19224941,-1043.833132
0,6106469,-119323,38240,16468.999,9799.436855,-4.940458656,4.239708177,5.257976365,61636,-157.6152128,-5046.840435
0,47423,483,1214,234.3834034,67.8892927,-0.19490485,0.278862574,17.9242396,962,-10.41150794,-120.1
1,-664,1021,-56,-6.596862177,-1.325175066,-4.383103881,-1.232451216,-3.673050056,-29,-79.20689655,-2846.793103
1,-4267269,-484,-23686,-4443.270971,-2194.717841,-26.86642138,-12.52777936,-23.2868432,-16435,32.17750732,5005.242818
1,736,-235,-10,10.95209283,2.412052939,1.008062853,0.25643994,1.993675068,44,-249.3913043,-2085.065217
1,17721851,46496,84157,15716.78881,5583.41962,-4.667825822,-2.213386787,-4.69686806,58711,-50.0225497,-636.5462732
0,22271,2003,-9,9.951223559,3.089817022,0.490702248,0,4.974064048,45,29.10638298,495.393617
1,35637,2024,14913,79.110987,-42.91075207,-25.56857727,-2.157427442,-19.03378311,471,240.6544196,4961.99819
0,233166,-4128,1829,26.12443009,26.53493169,-7.128287478,-0.501221506,-7.439591218,152,-135.3672071,-781.5932629
1,-62235,-24615,-1548,-41.56902779,-11.39339045,-10.47394442,0.241433113,-8.174910767,-162,-67.38169643,-2686.748512
0,68387,2126,3684,570.7106728,232.4676723,7.585561374,4.992172458,-2.405843794,2223,9.563253115,396.5790503
0,120773,-1136,6500,611.1726214,164.2301356,-14.84614461,-1.519828735,-5.206985051,2207,-47.84281184,-640.261945
1,-58105,-748,-2858,-95.35678611,-17.73755709,-4.687415134,-1.229931739,-3.209625156,-381,-184.1201435,-5239.095413
0,-500679,-2362,-6688,-307.2537107,-72.21482284,-1.26866325,-0.26456901,-1.999810702,-1091,-69.15880218,-4268.37931
0,698440,-20544,6796,1693.947601,316.746849,2.497402607,0.774572058,3.951341567,5203,-214.9729409,-8604.500675
1,-798453,245,-14865,-6841.893425,-5009.775842,-21.16717819,-2.285034615,-17.13929044,-23842,42.66653774,1090.123754
0,360553,4243,6789,5432.932508,5168.873975,9.809700057,-0.697567779,9.956925868,2361,17.3404435,1724.990104
1,-1832713,-342,-30578,-1673.711705,-388.3259239,-29.23134844,-7.207790087,-17.06374754,-6259,782.7739855,8784.605222
0,-141065,-3107,1656,21.39521117,16.12034323,-12.56564862,-0.729591654,-6.952276897,132,-154.0147092,-4955.673022
1,232259,1936,3094,168.09567,71.92768301,7.097827081,1.940007727,6.7552761,668,-10.27545045,4519.94228
0,208,53,6,0.451343274,0.020055287,0.727876268,0,1.706075535,-2,19.22222222,3761.777778
